,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
95181,,,,,,Redbrown Leather Workboot with Brown Sole,Light-Wash Denim,Red Longsleeve,,Light Brown,Short Coil,White
95182,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Blue Denim,Light Gray Cardigan with Light Gray Longsleeve Shirt,Thin,Dark Brown,Short Afro Fade,White
95183,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Navy Oxford with Buttons,,Black,Short Messy,White
95184,Black Smartphone,Stud Earring,Silver Aviators,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Khaki Oxford with Buttons,,Light Grey,Low Ponytail,White
95185,Black Leather Briefcase,Stud Earring,Rosegold Aviators,,,Redbrown Leather Workboot with Brown Sole,Gray Slacks,Dark Gray Cardigan with Tan Longsleeve Shirt,,Auburn,Updo Bun,White
95186,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Olive Oxford with Tie,,Light Grey,Medium Curly Bob,White
95187,,,Black Books,Tan Worker's Cap,,Tan Suede Workboot with Tan Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Light Grey,,White
95188,Lunchbox,,,,Two Rings,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Navy Oxford with Tie,,Light Brown,Long Messy,White
95189,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Gray Oxford with Pocket,,Light Brown,Low Ponytail,White
95190,Lunchbox,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Khaki Oxford with Buttons,,Black,Short Messy,White
95191,Black Smartphone,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Olive Oxford with Buttons,,Light Brown,Short Afro Fade,White
95192,Lunchbox,,Black Books,,,White Canvas Sneaker with White Sole,Khaki,Blue Longsleeve,Thin,Dark Brown,Medium Curly Bob,White
95193,Brown Leather Briefcase,Stud Earring,,Tan Worker's Cap,,White Canvas Sneaker with White Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Black,,White
95194,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Khaki Slacks,Red Longsleeve,,Light Brown,Short Pixie,White
95195,,,Rosegold Aviators,,Two Rings,White Canvas Sneaker with White Sole,,Khaki Jumpsuit,,Blonde,Short Updo,White
95196,Lunchbox,,,Tan Worker's Cap,,White Leather Sneaker with Grey Sole,Khaki,Navy Oxford with Tie,,Dark Brown,Buzz Cut,White
95197,Brown Leather Briefcase,,,,Two Rings,Black Suede Chelseas with Brown Sole,,Gray Jumpsuit,,Black,Short Messy,White
95198,Black Smartphone,,Black Books,Tan Worker's Cap,,White Canvas Sneaker with White Sole,Charcoal Slacks,Gray Blazer with Black Shirt and Gray Tie,,Black,Buzz Cut,White
95199,Lunchbox,,,Navy Blue Worker's Cap,,Black Leather Shoes with Laces,Charcoal Slacks,Olive Oxford with Buttons,,Dark Brown,Buzz Cut,White
95200,Lunchbox,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Navy Oxford with Tie and Pocket,,Light Grey,Low Ponytail,White
95201,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Gray Slacks,Light Gray Longsleeve,Beard,Black,Low Ponytail,White
95202,,,Black Books,,,White Leather Sneaker with Grey Sole,,Navy Jumpsuit,,Blonde,Updo Bun,White
95203,,,,,Two Rings,Brown Leather Shoes with Laces,Navy Slacks,Navy Oxford with Buttons,Goatee,Auburn,Short Messy,White
95204,,,Silver Aviators,,,Brown Leather Shoes with Laces,Light-Wash Denim,Navy Blazer with Striped Shirt and No Tie,,Light Brown,Long Messy,White
95205,Black Smartphone,,,,,Black Leather Shoes with Laces,Blue Denim,Navy Blazer with Striped Shirt and Navy Tie,,Light Brown,Short Pixie,White
95206,Black Smartphone,,,,,Brown Leather Shoes with Laces,Gray Slacks,Gray Blazer with Black Shirt and No Tie,Thin,Black,Straight Sideswept Fringe,White
95207,Lunchbox,,Silver Aviators,,,White Leather Sneaker with Grey Sole,Navy Slacks,Dark Gray Longsleeve,Beard,Black,Updo Bun,White
95208,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Gray Slacks,Olive Oxford with Buttons,,Black,Low Ponytail,White
95209,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Olive Oxford with Tie,,Light Grey,Long Messy,White
95210,,,,Tan Worker's Cap,,Black Leather Shoes with Laces,Light-Wash Denim,Dark Gray Cardigan with Off-White Oxford and No Tie,,Black,Buzz Cut,White
95211,Lunchbox,Stud Earring,,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Olive Cardigan with Light Gray Longsleeve Shirt,,Light Grey,Straight Sideswept Fringe,White
95212,Brown Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Tan Blazer with Off-White Shirt and No Tie,,Light Brown,Short Afro Fade,White
95213,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Gray Oxford with Buttons,,Auburn,Short Pixie,White
95214,,,Silver Aviators,,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Black,,White
95215,Black Leather Briefcase,,,,Two Rings,White Canvas Sneaker with White Sole,Khaki Slacks,Olive Cardigan with Off-White Longsleeve Shirt,,Light Brown,,White
95216,Brown Leather Briefcase,,Black Books,,,Brown Leather Shoes with Laces,Khaki Slacks,Gray Blazer with Black Shirt and No Tie,,Blonde,Straight Sideswept Fringe,White
95217,,,,,,Brown Leather Shoes with Laces,Light-Wash Denim,Olive Oxford with Buttons,,Light Brown,Short Messy,White
95218,,Stud Earring,,,,White Canvas Sneaker with White Sole,Khaki Slacks,Olive Cardigan with Light Gray Oxford Shirt,Thin,Blonde,Short Afro Fade,White
95219,Brown Leather Briefcase,,,Purple Worker's Cap,,White Leather Sneaker with Grey Sole,Navy Slacks,Light Gray Longsleeve,Mustache,Auburn,Buzz Cut,White
95220,,,Silver Aviators,,,Brown Leather Shoes with Laces,Charcoal Slacks,Dark Gray Longsleeve,,Black,Short Pixie,White
95221,Lunchbox,,,,Two Rings,Black Suede Chelseas with Brown Sole,Blue Denim,Gray Blazer with Black Shirt and No Tie,,Auburn,Long Messy,White
95222,,,Black Books,,,White Canvas Sneaker with White Sole,Navy Slacks,Olive Oxford with Tie and Pocket,,Light Grey,Short Pixie,White
95223,,,,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Brown Cardigan with Beigse Oxford Shirt,,Black,Short Messy,White
95224,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Light-Wash Denim,Red Longsleeve,,Black,Short Updo,White
95225,,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Olive Cardigan with Tan Oxford Shirt,,Black,Low Ponytail,White
95226,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Light-Wash Denim,Red Longsleeve,,Light Brown,Short Messy,White
95227,,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Light Gray Longsleeve,,Light Grey,Straight Sideswept Fringe,White
95228,Black Leather Briefcase,,,Navy Blue Worker's Cap,,Brown Leather Shoes with Laces,,Navy Jumpsuit,,Blonde,,White
95229,Light Blue Smartphone,,,,Two Rings,Black Leather Shoes with Laces,Khaki,Dark Gray Cardigan with Off-White Longsleeve Shirt,,Light Grey,Medium Curly Bob,White
95230,Black Smartphone,,Silver Aviators,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Navy Oxford with Tie,,Black,Short Messy,White
95231,,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Auburn,Short Coil,White
95232,,,Black Books,,Two Rings,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Olive Oxford with Tie and Pocket,,Light Brown,Updo Bun,White
95233,,,,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Light Gray Cardigan with Light Gray Longsleeve Shirt,Stubble,Light Brown,Straight Sideswept Fringe,White
95234,Brown Leather Briefcase,Stud Earring,,Navy Blue Worker's Cap,,Black Leather Shoes with Laces,,Gray Jumpsuit,,Blonde,,White
95235,Black Leather Briefcase,,,,,Brown Leather Shoes with Laces,Khaki Slacks,Khaki Oxford with Tie,,Black,Medium Curly Bob,White
95236,Brown Leather Briefcase,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and Navy Tie,,Black,Short Pixie,White
95237,Brown Leather Briefcase,,Silver Aviators,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Navy Oxford with Tie,,Auburn,Straight Sideswept Fringe,White
95238,Black Leather Briefcase,Stud Earring,,,,Brown Leather Shoes with Laces,Navy Slacks,Navy Oxford with Buttons,,Dark Brown,Short Messy,White
95239,Brown Leather Briefcase,,Black Books,,,White Leather Sneaker with Grey Sole,Gray Slacks,Light Gray Cardigan with Light Gray Longsleeve Shirt,,Light Grey,Short Messy,White
95240,Light Blue Smartphone,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Blue Longsleeve,Mustache,Light Grey,Short Afro Fade,White
95241,Black Leather Briefcase,Stud Earring,Black Books,,,Brown Leather Shoes with Laces,Light-Wash Denim,Olive Oxford with Tie and Pocket,,Black,Straight Sideswept Fringe,White
95242,Black Leather Briefcase,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Navy Oxford with Pocket,,Light Brown,Short Pixie,White
95243,Brown Leather Briefcase,,Silver Aviators,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Gray Oxford with Tie,,Black,Short Pixie,White
95244,,,,,,Brown Leather Shoes with Laces,Khaki,Charcoal Blazer with Light Blue Shirt and No Tie,Goatee,Dark Brown,Short Updo,White
95245,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,,Denim Jumpsuit,,Black,Updo Bun,White
95246,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Olive Cardigan with Tan Oxford Shirt,Stubble,Dark Brown,Low Ponytail,White
95247,,,,,,Black Leather Shoes with Laces,,Navy Jumpsuit,Stubble,Auburn,Short Messy,White
95248,Brown Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Light Gray Longsleeve,Stubble,Dark Brown,Buzz Cut,White
95249,Brown Leather Briefcase,,,Tan Worker's Cap,Two Rings,Brown Leather Shoes with Laces,Navy Slacks,Olive Oxford with Tie,Stubble,Black,Buzz Cut,White
95250,Black Smartphone,Stud Earring,,Tan Worker's Cap,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Dark Gray Longsleeve,,Blonde,,White
95251,Black Smartphone,,,,Ring One Blue,White Canvas Sneaker with White Sole,Khaki Slacks,Light Gray Cardigan with Off-White Oxford Shirt,,Black,Low Ponytail,White
95252,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Navy Slacks,Olive Oxford with Pocket,,Black,Straight Sideswept Fringe,White
95253,Blue Lunchbox,,Black Books,,,Brown Leather Shoes with Laces,,Denim Jumpsuit,,Blonde,Short Updo,White
95254,,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Navy Oxford with Buttons,,Light Brown,Straight Sideswept Fringe,White
95255,Brown Leather Briefcase,,,,Two Rings,White Canvas Sneaker with White Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,Goatee,Dark Brown,Straight Sideswept Fringe,White
95256,,,,,Two Rings,White Canvas Sneaker with White Sole,Khaki,Olive Oxford with Tie,,Black,Long Messy,White
95257,Black Leather Briefcase,,,Navy Blue Worker's Cap,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Tie,Stubble,Light Brown,Buzz Cut,White
95258,Lunchbox,,Silver Aviators,,Two Rings,Brown Leather Shoes with Laces,Dark-Wash Denim,Navy Oxford with Pocket,,Dark Brown,Long Messy,White
95259,Brown Leather Briefcase,,Black Books,,,Black Leather Shoes with Laces,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Dark Brown,Short Updo,White
95260,Blue Lunchbox,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Navy Oxford with Buttons,,Dark Brown,Long Messy,White
95261,,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Gray Blazer with Black Shirt and Gray Tie,,Light Brown,Short Afro Fade,White
95262,Brown Leather Briefcase,,Rosegold Aviators,,,White Leather Sneaker with Grey Sole,Gray Slacks,Navy Blazer with Striped Shirt and No Tie,,Light Grey,Short Pixie,White
95263,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Navy Oxford with Buttons,,Black,Short Coil,White
95264,Black Leather Briefcase,,Black Books,,,White Canvas Sneaker with White Sole,Navy Slacks,Tan Blazer with Off-White Shirt and No Tie,,Black,Straight Sideswept Fringe,White
95265,Black Leather Briefcase,Stud Earring,,,,Black Leather Shoes with Laces,Charcoal Slacks,Brown Cardigan with Light Gray Longsleeve Shirt,,Light Brown,Short Messy,White
95266,Lunchbox,,,,,Black Leather Shoes with Laces,Blue Denim,Light Gray Longsleeve,,Light Brown,,White
95267,Brown Leather Briefcase,,Rosegold Aviators,,,White Canvas Sneaker with White Sole,Khaki Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Black,Straight Sideswept Fringe,White
95268,,,Black Books,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,Stubble,Auburn,Medium Curly Bob,White
95269,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Khaki,Olive Cardigan with Beige Oxford Shirt,Stubble,Light Brown,Short Messy,White
95270,,,,,,Brown Leather Shoes with Laces,Gray Slacks,Olive Oxford with Buttons,Stubble,Dark Brown,Updo Bun,White
95271,,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Navy Oxford with Tie,,Blonde,Long Messy,White
95272,,,Rosegold Aviators,,,Black Leather Shoes with Laces,Light-Wash Denim,Navy Blazer with Striped Shirt and No Tie,Stubble,Dark Brown,Long Straight Bangs,White
95273,,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Charcoal Blazer with Light Blue Shirt and No Tie,,Auburn,Short Pixie,White
95274,Brown Leather Briefcase,,,,,Redbrown Leather Workboot with Brown Sole,Light-Wash Denim,Navy Oxford with Pocket,,Blonde,Short Pixie,White
95275,Black Smartphone,,Black Books,,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Gray Oxford with Buttons,,Dark Brown,Short Coil,White
95276,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Dark-Wash Denim,Charcoal Blazer with Light Blue Shirt and Black Tie,,Auburn,Short Afro Fade,White
95277,,,,Tan Worker's Cap,,White Canvas Sneaker with White Sole,Charcoal Slacks,Gray Oxford with Buttons,Stubble,Black,Buzz Cut,White
95278,Brown Leather Briefcase,,Silver Aviators,,Two Rings,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Navy Oxford with Buttons,,Light Brown,Buzz Cut,White
95279,Lunchbox,,Black Books,,,White Leather Sneaker with Grey Sole,Navy Slacks,Light Gray Cardigan with Off-White Longsleeve Shirt,,Light Brown,Low Ponytail,White
95280,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Gray Slacks,Gray Blazer with Black Shirt and No Tie,Goatee,Light Brown,Short Coil,White
95281,Black Leather Briefcase,Stud Earring,Rosegold Aviators,,,Black Leather Shoes with Laces,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Dark Brown,Short Updo,White
95282,Light Blue Smartphone,,,,,White Canvas Sneaker with White Sole,Gray Slacks,Navy Blazer with Striped Shirt and No Tie,,Black,Short Pixie,White
95283,Black Smartphone,,Black Books,,Two Rings,Tan Suede Workboot with Tan Sole,Navy Slacks,Navy Blazer with Striped Shirt and No Tie,,Light Grey,Short Messy,White
95284,Lunchbox,,Silver Aviators,,Two Rings,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Blue Longsleeve,Goatee,Light Brown,Short Coil,White
95285,Black Smartphone,,Rosegold Aviators,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Red Longsleeve,,Black,Long Messy,White
95286,Lunchbox,,,Tan Worker's Cap,,Black Suede Chelseas with Brown Sole,Khaki,Olive Oxford with Tie and Pocket,,Auburn,Buzz Cut,White
95287,,,Black Books,,,White Leather Sneaker with Grey Sole,Navy Slacks,Dark Gray Longsleeve,,Auburn,Short Messy,White
95288,,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Khaki Oxford with Buttons,Mustache,Auburn,Straight Sideswept Fringe,White
95289,Brown Leather Briefcase,,,,,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Tan Blazer with Off-White Shirt and Tan Tie,,Light Brown,Medium Curly Bob,White
95290,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Dark Gray Longsleeve,,Dark Brown,Short Messy,White
95291,Black Smartphone,Stud Earring,Silver Aviators,,Two Rings,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Tan Blazer with Off-White Shirt and No Tie,,Black,Short Messy,White
95292,,,,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Gray Oxford with Tie,,Dark Brown,Short Pixie,White
95293,,,Silver Aviators,,,Redbrown Leather Workboot with Brown Sole,Khaki Slacks,Light Gray Longsleeve,,Black,Short Afro Fade,White
95294,,,,,,Black Suede Chelseas with Brown Sole,,Navy Jumpsuit,Stubble,Dark Brown,,White
95295,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Gray Oxford with Buttons,,Light Brown,Short Coil,White
95296,Black Leather Briefcase,Stud Earring,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Olive Oxford with Pocket,Stubble,Black,Straight Sideswept Fringe,White
95297,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Khaki,Khaki Oxford with Buttons,,Black,Long Messy,White
95298,Black Smartphone,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Dark Gray Longsleeve,Thin,Light Brown,Short Afro Fade,White
95299,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,,Denim Jumpsuit,Goatee,Light Brown,Short Updo,White
95300,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Red Longsleeve,Stubble,Dark Brown,Short Messy,White
95301,,Stud Earring,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Khaki Oxford with Tie,,Black,Short Coil,White
95302,Black Smartphone,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Buttons,Thin,Blonde,Short Messy,White
95303,Light Blue Smartphone,,,,,Black Leather Shoes with Laces,Khaki Slacks,Dark Gray Cardigan with Beige Longsleeve Shirt,,Blonde,Short Afro Fade,White
95304,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Tan Blazer with Off-White Shirt and Tan Tie,Beard,Dark Brown,Short Messy,White
95305,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Dark-Wash Denim,Navy Blazer with Striped Shirt and Navy Tie,,Dark Brown,Long Messy,White
95306,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Blue Denim,Charcoal Blazer with Light Blue Shirt and Black Tie,Stubble,Light Brown,Low Ponytail,White
95307,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Khaki Oxford with Buttons,,Light Brown,Long Messy,White
95308,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Light Gray Cardigan with Light Gray Longsleeve Shirt,,Dark Brown,Long Messy,White
95309,,,Black Books,,,White Leather Sneaker with Grey Sole,Navy Slacks,Olive Oxford with Buttons,,Dark Brown,Straight Sideswept Fringe,White
95310,Black Smartphone,,,Tan Worker's Cap,,Brown Leather Shoes with Laces,Light-Wash Denim,Gray Oxford with Buttons,,Light Brown,,White
95311,,,Black Books,,,Black Leather Shoes with Laces,Navy Slacks,Dark Gray Longsleeve,,Dark Brown,Short Afro Fade,White
95312,Lunchbox,,,,Two Rings,White Canvas Sneaker with White Sole,Navy Slacks,Tan Blazer with Off-White Shirt and No Tie,Mustache,Blonde,Short Afro Fade,White
95313,,,,,Ring One Blue,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Charcoal Blazer with Light Blue Shirt and No Tie,,Auburn,Updo Bun,White
95314,Lunchbox,,,,,Brown Leather Shoes with Laces,Light-Wash Denim,Brown Cardigan with Off-White Longsleeve Shirt,,Dark Brown,Straight Sideswept Fringe,White
95315,Black Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Khaki Slacks,Dark Gray Longsleeve,,Black,Short Messy,White
